epsilon,gamma_t,AGF
-7.959183673469388820e-02,2.442053094548649744e-02,9.782726622892669033e-01
-7.959183673469388820e-02,3.088843596477484910e-02,9.728926850902851475e-01
-7.959183673469388820e-02,3.906939937054620948e-02,9.661677239583204013e-01
-7.959183673469388820e-02,4.941713361323837872e-02,9.577873151474860514e-01
-7.959183673469388820e-02,6.250551925273975518e-02,9.473840835182517628e-01
-7.959183673469388820e-02,7.906043210907701124e-02,9.345318419090986595e-01
-7.959183673469388820e-02,1.000000000000000056e-01,9.187491715311120188e-01
-7.551020408163265640e-02,9.999999999999999547e-07,9.992133182496482080e-01
-7.551020408163265640e-02,1.264855216855295881e-06,9.992130928500201348e-01
-7.551020408163265640e-02,1.599858719606057360e-06,9.992127982120299068e-01
-7.551020408163265640e-02,2.023589647725155726e-06,9.992124318230696245e-01
-7.551020408163265640e-02,2.559547922699533382e-06,9.992119590810575325e-01
-7.551020408163265640e-02,3.237457542817646685e-06,9.992113751913511699e-01
-7.551020408163265640e-02,4.094915062380427237e-06,9.992106291634021975e-01
-7.551020408163265640e-02,5.179474679231212330e-06,9.992096835452755066e-01
-7.551020408163265640e-02,6.551285568595509496e-06,9.992084934075384783e-01
-7.551020408163265640e-02,8.286427728546842542e-06,9.992069811162999082e-01
-7.551020408163265640e-02,1.048113134154685250e-05,9.992050748503967794e-01
-7.551020408163265640e-02,1.325711365590110898e-05,9.992026568933336517e-01
-7.551020408163265640e-02,1.676832936811009972e-05,9.991996046456154135e-01
-7.551020408163265640e-02,2.120950887920192640e-05,9.991957411145382384e-01
-7.551020408163265640e-02,2.682695795279727390e-05,9.991908512565741418e-01
-7.551020408163265640e-02,3.393221771895329857e-05,9.991846745930432760e-01
-7.551020408163265640e-02,4.291934260128778017e-05,9.991768554380001666e-01
-7.551020408163265640e-02,5.428675439323859403e-05,9.991669663627176234e-01
-7.551020408163265640e-02,6.866488450042998925e-05,9.991544580803648490e-01
-7.551020408163265640e-02,8.685113737513520580e-05,9.991386437018640043e-01
-7.551020408163265640e-02,1.098541141987558346e-04,9.991186337153495911e-01
-7.551020408163265640e-02,1.389495494373137348e-04,9.990933271825243045e-01
-7.551020408163265640e-02,1.757510624854793067e-04,9.990613243179693459e-01
-7.551020408163265640e-02,2.222996482526195465e-04,9.990208392486740197e-01
-7.551020408163265640e-02,2.811768697974231118e-04,9.989696398799915444e-01
-7.551020408163265640e-02,3.556480306223128661e-04,9.989048869477764603e-01
-7.551020408163265640e-02,4.498432668969443876e-04,9.988229992914989808e-01
-7.551020408163265640e-02,5.689866029018298636e-04,9.987194338565563712e-01
-7.551020408163265640e-02,7.196856730011521675e-04,9.985884735034702420e-01
-7.551020408163265640e-02,9.102981779915217267e-04,9.984228736991991315e-01
-7.551020408163265640e-02,1.151395399326448146e-03,9.982134850609922783e-01
-7.551020408163265640e-02,1.456348477501244378e-03,9.979487595620755158e-01
-7.551020408163265640e-02,1.842069969326716331e-03,9.976141097209353381e-01
-7.551020408163265640e-02,2.329951810515372077e-03,9.971911248820148899e-01
