T,AGF,Avg_Leakage
1.255000000000000000e+02,9.999983558189967647e-01,1.644177701098925581e-06
1.260000000000000000e+02,9.999932636982820089e-01,6.736233098880717307e-06
1.265000000000000000e+02,9.999978791077644980e-01,2.120886528067522647e-06
1.270000000000000000e+02,9.999865147595968784e-01,1.348498591791091883e-05
1.275000000000000000e+02,9.999981053471227455e-01,1.894649526157365926e-06
1.280000000000000000e+02,9.999914070107689401e-01,8.592891592607010409e-06
1.285000000000000000e+02,9.999984867394455801e-01,1.513257828600345078e-06
1.290000000000000000e+02,9.999840651058015117e-01,1.593455941995003400e-05
1.295000000000000000e+02,9.999973557639429966e-01,2.644230027604166366e-06
1.300000000000000000e+02,9.999908704980124963e-01,9.129397903206992737e-06
1.305000000000000000e+02,9.999983515547332669e-01,1.648442810031625072e-06
1.310000000000000000e+02,9.999840695598312124e-01,1.593010898248703455e-05
1.315000000000000000e+02,9.999967159383442716e-01,3.284046840024146263e-06
1.320000000000000000e+02,9.999920953763379305e-01,7.904549388482173811e-06
1.325000000000000000e+02,9.999980660078700012e-01,1.933987863633745974e-06
1.330000000000000000e+02,9.999866925216366331e-01,1.330724815740147449e-05
1.335000000000000000e+02,9.999960802659048076e-01,3.919698552512507206e-06
1.340000000000000000e+02,9.999945242825523106e-01,5.475684843991857065e-06
1.345000000000000000e+02,9.999975992969656335e-01,2.400691403336985275e-06
1.350000000000000000e+02,9.999908368121953606e-01,9.163079896179482375e-06
1.355000000000000000e+02,9.999947832551813187e-01,5.216676292940647386e-06
1.360000000000000000e+02,9.999969537176902623e-01,3.046273404416766084e-06
1.365000000000000000e+02,9.999965650999536049e-01,3.434874867425108391e-06
1.370000000000000000e+02,9.999948404004399549e-01,5.159565922285835882e-06
1.375000000000000000e+02,9.999923291189146690e-01,7.670768487288981419e-06
1.380000000000000000e+02,9.999983457985447410e-01,1.654198381384475169e-06
1.385000000000000000e+02,9.999948488030236948e-01,5.151152857818530606e-06
1.390000000000000000e+02,9.999974792126934409e-01,2.520779314285626072e-06
1.395000000000000000e+02,9.999890702947584753e-01,1.092952801184932099e-05
1.400000000000000000e+02,9.999984609186001183e-01,1.539078850809616483e-06
