T,AGF,Avg_Leakage
1.245000000000000000e+02,9.999937256436093325e-01,6.274298315900317391e-06
1.250000000000000000e+02,9.999802649549657252e-01,1.973437992175419708e-05
1.255000000000000000e+02,9.999911866185196008e-01,8.813338479907173451e-06
1.260000000000000000e+02,9.999973088809746002e-01,2.691113635377995195e-06
1.265000000000000000e+02,9.999977232695400620e-01,2.276722655736307388e-06
1.270000000000000000e+02,9.999757140601339689e-01,2.428503943607829285e-05
1.275000000000000000e+02,9.999893627069893487e-01,1.063721539473760913e-05
1.280000000000000000e+02,9.999966176058778800e-01,3.382387562034239181e-06
1.285000000000000000e+02,9.999995339796814431e-01,4.660199623973682037e-07
1.290000000000000000e+02,9.999732336478361905e-01,2.676529339340483205e-05
1.295000000000000000e+02,9.999886888819637942e-01,1.131099407780666866e-05
1.300000000000000000e+02,9.999964171797582901e-01,3.582812641123034325e-06
1.305000000000000000e+02,9.999999939533887883e-01,6.046610989685063942e-09
1.310000000000000000e+02,9.999743472560224111e-01,2.565177342206403921e-05
1.315000000000000000e+02,9.999889438022815380e-01,1.105601582995774379e-05
1.320000000000000000e+02,9.999964707664436014e-01,3.529221750397937285e-06
1.325000000000000000e+02,9.999998793901054839e-01,1.206098616535200563e-07
1.330000000000000000e+02,9.999789636008600269e-01,2.103574470324609536e-05
1.335000000000000000e+02,9.999889890741989751e-01,1.101066940656370008e-05
1.340000000000000000e+02,9.999961673674642171e-01,3.832615050325394179e-06
1.345000000000000000e+02,9.999995098624460121e-01,4.901370861398746115e-07
1.350000000000000000e+02,9.999855072666814504e-01,1.449242291529095894e-05
1.355000000000000000e+02,9.999875350917722949e-01,1.246456384684790919e-05
1.360000000000000000e+02,9.999950127592225346e-01,4.987220661334390570e-06
1.365000000000000000e+02,9.999988857224406669e-01,1.114275945401921319e-06
1.370000000000000000e+02,9.999918604160912272e-01,8.139486237457305151e-06
1.375000000000000000e+02,9.999841582552111419e-01,1.584128058862432908e-05
1.380000000000000000e+02,9.999931094792131603e-01,6.890494395062063404e-06
1.385000000000000000e+02,9.999980579130456348e-01,1.942083701411689844e-06
1.390000000000000000e+02,9.999964837028721965e-01,3.516278760051783081e-06
1.395000000000000000e+02,9.999798127412098392e-01,2.018661406322230789e-05
1.400000000000000000e+02,9.999911880545507836e-01,8.811898001503948308e-06
1.405000000000000000e+02,9.999972994569251705e-01,2.700538476507752250e-06
1.410000000000000000e+02,9.999989819014502013e-01,1.018096930427425661e-06
1.415000000000000000e+02,9.999764291889150503e-01,2.356998356822792573e-05
1.420000000000000000e+02,9.999900775429377831e-01,9.922375862725374418e-06
1.425000000000000000e+02,9.999969143022269247e-01,3.085692536153317178e-06
1.430000000000000000e+02,9.999998851911000575e-01,1.148088762947807595e-07
1.435000000000000000e+02,9.999758182328262190e-01,2.418090525901916976e-05
1.440000000000000000e+02,9.999899905549295420e-01,1.000932178163438380e-05
1.445000000000000000e+02,9.999968956233379336e-01,3.104369374007376337e-06
1.450000000000000000e+02,9.999999821497919106e-01,1.785020753430899276e-08
1.455000000000000000e+02,9.999786175070120020e-01,2.138181741329070462e-05
1.460000000000000000e+02,9.999902254358186138e-01,9.774385733241075513e-06
1.465000000000000000e+02,9.999968165035765244e-01,3.183484595048469146e-06
1.470000000000000000e+02,9.999997612565785232e-01,2.387432976869163781e-07
1.475000000000000000e+02,9.999839553023907035e-01,1.604431682700191431e-05
1.480000000000000000e+02,9.999895705782646527e-01,1.042917538174314984e-05
1.485000000000000000e+02,9.999961274596695926e-01,3.872525231707335536e-06
1.490000000000000000e+02,9.999993210486280981e-01,6.789506473703355027e-07
1.495000000000000000e+02,9.999900125978274934e-01,9.987254963927938434e-06
1.500000000000000000e+02,9.999871954052048650e-01,1.280426364480558021e-05
1.505000000000000000e+02,9.999946498764193947e-01,5.350105903190183199e-06
1.510000000000000000e+02,9.999986520829381442e-01,1.347915210669903274e-06
1.515000000000000000e+02,9.999950491156794907e-01,4.950848126017426409e-06
1.520000000000000000e+02,9.999834007441782413e-01,1.659879535675923279e-05
1.525000000000000000e+02,9.999928172882270871e-01,7.182682757012059938e-06
1.530000000000000000e+02,9.999979097273776762e-01,2.090269507704078933e-06
1.535000000000000000e+02,9.999982044167076145e-01,1.795578404739650580e-06
1.540000000000000000e+02,9.999796357120093182e-01,2.036365994673161595e-05
1.545000000000000000e+02,9.999914102879505773e-01,8.589659274083061291e-06
1.550000000000000000e+02,9.999973892287231658e-01,2.610767448896211818e-06
1.555000000000000000e+02,9.999996258597700916e-01,3.741399954293456176e-07
1.560000000000000000e+02,9.999777381950064603e-01,2.226107340064231721e-05
1.565000000000000000e+02,9.999909323084889001e-01,9.067607274815259188e-06
1.570000000000000000e+02,9.999972403105893415e-01,2.759684688324881563e-06
1.575000000000000000e+02,9.999999935111434368e-01,6.488856563180434023e-09
1.580000000000000000e+02,9.999788680900337789e-01,2.113125095259960062e-05
1.585000000000000000e+02,9.999911099230598399e-01,8.889952157309366498e-06
1.590000000000000000e+02,9.999972402038382890e-01,2.759788455986011968e-06
1.595000000000000000e+02,9.999999114610329531e-01,8.853894928328998049e-08
1.600000000000000000e+02,9.999828413205973376e-01,1.715824384296293914e-05
1.605000000000000000e+02,9.999909641742570354e-01,9.035648282251784735e-06
1.610000000000000000e+02,9.999968936826253429e-01,3.106306133426883775e-06
1.615000000000000000e+02,9.999996159574759957e-01,3.840422496681483722e-07
1.620000000000000000e+02,9.999882936008182011e-01,1.170619667023586885e-05
1.625000000000000000e+02,9.999894818772208094e-01,1.051788171502199276e-05
1.630000000000000000e+02,9.999958437020920465e-01,4.156284914125230046e-06
1.635000000000000000e+02,9.999991073050011892e-01,8.926940232578672862e-07
1.640000000000000000e+02,9.999934873523436130e-01,6.512585117857128125e-06
1.645000000000000000e+02,9.999864297284398740e-01,1.356993994150457183e-05
1.650000000000000000e+02,9.999942349283447163e-01,5.765053381012741340e-06
1.655000000000000000e+02,9.999984417646535784e-01,1.558233351461879579e-06
1.660000000000000000e+02,9.999972092038342808e-01,2.790784554229652770e-06
1.665000000000000000e+02,9.999827088095099015e-01,1.729072380129981212e-05
1.670000000000000000e+02,9.999926913746934876e-01,7.308591527088736939e-06
1.675000000000000000e+02,9.999978500578391438e-01,2.149939343554230220e-06
1.680000000000000000e+02,9.999991944886673645e-01,8.055103049020573280e-07
1.685000000000000000e+02,9.999799675070629723e-01,2.003189716870412695e-05
1.690000000000000000e+02,9.999918525823687787e-01,8.147360102905842894e-06
1.695000000000000000e+02,9.999975614036212823e-01,2.438593068587735502e-06
1.700000000000000000e+02,9.999999075913533764e-01,9.240863052539793898e-08
1.705000000000000000e+02,9.999796626874351002e-01,2.033670280066068869e-05
1.710000000000000000e+02,9.999918118701678349e-01,8.188042150969465638e-06
1.715000000000000000e+02,9.999975357557276956e-01,2.464239330923767568e-06
1.720000000000000000e+02,9.999999867236770701e-01,1.327632259684463634e-08
1.725000000000000000e+02,9.999822174901350502e-01,1.778204241376091232e-05
1.730000000000000000e+02,9.999919110403784339e-01,8.088831682684372026e-06
1.735000000000000000e+02,9.999974040174416379e-01,2.595974523122990263e-06
1.740000000000000000e+02,9.999998086220346361e-01,1.913778866491355757e-07
1.745000000000000000e+02,9.999868093730581720e-01,1.319036958180586083e-05
1.750000000000000000e+02,9.999911404685073446e-01,8.859353799683944430e-06
1.755000000000000000e+02,9.999967322987085572e-01,3.267691211950030095e-06
1.760000000000000000e+02,9.999994416358765070e-01,5.583636624173493601e-07
1.765000000000000000e+02,9.999918849054694192e-01,8.114997363195541880e-06
1.770000000000000000e+02,9.999888890017055720e-01,1.111075576198938819e-05
1.775000000000000000e+02,9.999954298856399415e-01,4.570102023482291997e-06
1.780000000000000000e+02,9.999988874414478257e-01,1.112557357796362112e-06
1.785000000000000000e+02,9.999960238410091629e-01,3.976135605654462779e-06
1.790000000000000000e+02,9.999855273177704618e-01,1.447233903739686411e-05
1.795000000000000000e+02,9.999938999726583067e-01,6.100005955911314004e-06
1.800000000000000000e+02,9.999982880986705291e-01,1.711899324297050384e-06
1.805000000000000000e+02,9.999985741550012630e-01,1.425841890556611702e-06
1.810000000000000000e+02,9.999823585081208943e-01,1.764102351908825028e-05
1.815000000000000000e+02,9.999927878167522710e-01,7.212144393475838910e-06
1.820000000000000000e+02,9.999978835481497796e-01,2.116449371536432977e-06
1.825000000000000000e+02,9.999997053744777986e-01,2.946253732094561428e-07
1.830000000000000000e+02,9.999809187839365787e-01,1.908067898692689113e-05
1.835000000000000000e+02,9.999924501392681853e-01,7.549798910599925250e-06
1.840000000000000000e+02,9.999977725292751307e-01,2.227467471804800425e-06
1.845000000000000000e+02,9.999999950696732975e-01,4.930326591434663897e-09
1.850000000000000000e+02,9.999821035295823890e-01,1.789599755575022044e-05
1.855000000000000000e+02,9.999925733302144071e-01,7.426577589120242351e-06
1.860000000000000000e+02,9.999977376789379591e-01,2.262315579093510109e-06
1.865000000000000000e+02,9.999999267872187181e-01,7.321276895844164301e-08
1.870000000000000000e+02,9.999856500762808187e-01,1.434961902713194348e-05
1.875000000000000000e+02,9.999922967593188883e-01,7.703109015322340269e-06
1.880000000000000000e+02,9.999973650571749584e-01,2.634935006518013267e-06
1.885000000000000000e+02,9.999996768165431149e-01,3.231832721439786837e-07
1.890000000000000000e+02,9.999903366431638352e-01,9.663218870858969467e-06
1.895000000000000000e+02,9.999908036429074887e-01,9.196176694148405772e-06
1.900000000000000000e+02,9.999963959558950677e-01,3.604034986004478469e-06
1.905000000000000000e+02,9.999992443424131627e-01,7.556569279199010225e-07
1.910000000000000000e+02,9.999946968366323352e-01,5.303121874078442488e-06
1.915000000000000000e+02,9.999880021016375187e-01,1.199764573989181571e-05
1.920000000000000000e+02,9.999950036349517513e-01,4.996351340436078203e-06
1.925000000000000000e+02,9.999986899908215321e-01,1.310007832433512931e-06
1.930000000000000000e+02,9.999977604020344746e-01,2.239590452535189513e-06
1.935000000000000000e+02,9.999847648120343546e-01,1.523482964926881067e-05
1.940000000000000000e+02,9.999937345135121447e-01,6.265460726240235090e-06
