T,AGF,Avg_Leakage,Unitary_Error
5.050000000000000000e+01,9.999949503493363867e-01,5.049635616510839142e-06,1.006880247977903764e-05
5.100000000000000000e+01,9.999914492828579915e-01,8.550666389467442841e-06,1.768984310812626859e-05
5.150000000000000000e+01,9.999958993243213135e-01,4.100664113493301954e-06,7.907240126003856062e-06
5.200000000000000000e+01,9.999884388075394037e-01,1.156108990116311297e-05,2.458890875411956500e-05
5.250000000000000000e+01,9.999933929639593932e-01,6.607017775828172290e-06,1.307582699672238391e-05
5.300000000000000000e+01,9.999928949031253733e-01,7.105062496293168550e-06,1.541123849424508307e-05
5.350000000000000000e+01,9.999949815368015527e-01,5.018450889904269019e-06,1.082549839259705493e-05
5.400000000000000000e+01,9.999906050231442967e-01,9.394909042753640804e-06,2.168127431845245923e-05
5.450000000000000000e+01,9.999915709275238873e-01,8.429021003841796755e-06,2.005095980361915053e-05
5.500000000000000000e+01,9.999944689777301443e-01,5.531001824071735129e-06,1.358090612391116281e-05
5.550000000000000000e+01,9.999938338314940944e-01,6.166137915902814015e-06,1.559271081919000324e-05
5.600000000000000000e+01,9.999928702381787327e-01,7.129722068455190964e-06,1.864519265093456113e-05
5.650000000000000000e+01,9.999898921253385087e-01,1.010777749604896414e-05,2.597934438086646480e-05
5.700000000000000000e+01,9.999958081022153333e-01,4.191883293952480827e-06,1.126329564116179682e-05
5.750000000000000000e+01,9.999928212300431829e-01,7.178720594663845489e-06,1.885955652680681993e-05
5.800000000000000000e+01,9.999948444633466327e-01,5.155512927901284570e-06,1.461293845650413203e-05
5.850000000000000000e+01,9.999887189696486933e-01,1.128091740143499777e-05,2.857727159610856660e-05
5.900000000000000000e+01,9.999966121334493696e-01,3.387853970387988412e-06,8.323589357539518119e-06
5.950000000000000000e+01,9.999922366119460282e-01,7.763338498611993543e-06,1.928027355213579597e-05
6.000000000000000000e+01,9.999962313986653362e-01,3.768586524621753142e-06,9.962813634301070920e-06
6.050000000000000000e+01,9.999882964346287206e-01,1.170346557780033159e-05,2.757546894116558178e-05
6.100000000000000000e+01,9.999967057801670833e-01,3.294207087084499719e-06,7.139652776766425291e-06
6.150000000000000000e+01,9.999922413127944054e-01,7.758646574318461830e-06,1.738890534852544079e-05
6.200000000000000000e+01,9.999968810175001721e-01,3.118970833521084174e-06,6.324228796206199377e-06
6.250000000000000000e+01,9.999887071233265479e-01,1.129278999190130861e-05,2.449043237517933846e-05
6.300000000000000000e+01,9.999960756169514742e-01,3.924371802216386484e-06,8.509826703195777498e-06
6.350000000000000000e+01,9.999928394073516191e-01,7.160559129054666627e-06,1.478346324068624540e-05
6.400000000000000000e+01,9.999968100329365006e-01,3.189958126426084561e-06,6.770335216232936659e-06
6.450000000000000000e+01,9.999898647988082478e-01,1.013512638950442302e-05,2.121236445695728889e-05
6.500000000000000000e+01,9.999948662590452120e-01,5.133730804018910021e-06,9.250706616836801288e-06
6.550000000000000000e+01,9.999938855451713238e-01,6.114430270237614096e-06,1.271719122519776590e-05
6.600000000000000000e+01,9.999961833032656733e-01,3.816690054947446953e-06,7.507146861485125555e-06
6.650000000000000000e+01,9.999915405760194664e-01,8.459370119562326096e-06,1.862833133614572034e-05
6.700000000000000000e+01,9.999933449643305661e-01,6.655009234329822831e-06,1.484925648576052026e-05
6.750000000000000000e+01,9.999951284938497498e-01,4.871491213503942319e-06,1.126979312260356636e-05
6.800000000000000000e+01,9.999952663234651373e-01,4.733661470995853549e-06,1.135015591868793194e-05
6.850000000000000000e+01,9.999934185366641248e-01,6.581430859159409508e-06,1.630992086087967863e-05
6.900000000000000000e+01,9.999918391249990046e-01,8.160814715607589420e-06,2.046896288643296202e-05
6.950000000000000000e+01,9.999962724396027625e-01,3.727550232618392911e-06,9.705727582409728882e-06
7.000000000000000000e+01,9.999943591872844095e-01,5.640782701765711948e-06,1.470085252019970312e-05
7.050000000000000000e+01,9.999951675873791634e-01,4.832393235731924364e-06,1.337073145624145809e-05
7.100000000000000000e+01,9.999906662607844776e-01,9.333657650822946295e-06,2.382209841100824121e-05
7.150000000000000000e+01,9.999970482609583655e-01,2.951730189409973448e-06,7.558619415815037712e-06
7.200000000000000000e+01,9.999937284093812773e-01,6.271555758746716336e-06,1.593940990074482755e-05
7.250000000000000000e+01,9.999965089447233613e-01,3.491043290615447603e-06,9.651586661885147578e-06
7.300000000000000000e+01,9.999900686043152742e-01,9.931319268019489499e-06,2.400915432743122579e-05
7.350000000000000000e+01,9.999972715900661280e-01,2.728401001905744749e-06,5.486367403939595988e-06
7.400000000000000000e+01,9.999935482202714221e-01,6.451750527824984260e-06,1.494495485654390166e-05
7.450000000000000000e+01,9.999972697688939149e-01,2.730222439156770875e-06,6.168564185449199044e-06
7.500000000000000000e+01,9.999901658081442601e-01,9.834127432273298552e-06,2.183954550738498313e-05
7.550000000000000000e+01,9.999968837735433436e-01,3.116217756005124073e-06,7.101418602051268181e-06
7.600000000000000000e+01,9.999938699311424761e-01,6.130045319102661594e-06,1.284150115576920825e-05
7.650000000000000000e+01,9.999974120559974589e-01,2.587936849318683841e-06,5.693546072382815737e-06
7.700000000000000000e+01,9.999909347064308562e-01,9.065237026040229296e-06,1.895037788757214514e-05
