theta,delta,fidelity
2.617993877991494078e-01,1.308996938995746984e+00,8.717179688714713492e-01
2.617993877991494078e-01,1.439896632895321771e+00,8.676327542758138778e-01
2.617993877991494078e-01,1.570796326794896558e+00,8.634958761484873291e-01
2.617993877991494078e-01,1.701696020694471123e+00,8.593788869190596147e-01
2.617993877991494078e-01,1.832595714594045910e+00,8.553512590910881119e-01
2.617993877991494078e-01,1.963495408493620475e+00,8.514802350480745741e-01
2.617993877991494078e-01,2.094395102393195263e+00,8.478290575793892003e-01
2.617993877991494078e-01,2.225294796292769828e+00,8.444567991966986931e-01
2.617993877991494078e-01,2.356194490192344837e+00,8.414170149257547138e-01
2.617993877991494078e-01,2.487094184091919402e+00,8.387562792975733483e-01
2.617993877991494078e-01,2.617993877991493967e+00,8.365164774341901088e-01
2.617993877991494078e-01,2.748893571891068976e+00,8.347319364086418503e-01
2.617993877991494078e-01,2.879793265790643542e+00,8.334289795325429129e-01
2.617993877991494078e-01,3.010692959690218107e+00,8.326280272035279095e-01
2.617993877991494078e-01,3.141592653589793116e+00,8.323402339839388597e-01
2.617993877991494078e-01,3.272492347489367681e+00,8.325704743385851092e-01
2.617993877991494078e-01,3.403392041388942246e+00,8.333154174572926509e-01
2.617993877991494078e-01,3.534291735288516811e+00,8.345638889292414930e-01
2.617993877991494078e-01,3.665191429188091821e+00,8.362981417672843421e-01
2.617993877991494078e-01,3.796091123087666386e+00,8.384913911003484266e-01
2.617993877991494078e-01,3.926990816987240951e+00,8.411109860780981995e-01
2.617993877991494078e-01,4.057890510886815960e+00,8.441158006947413472e-01
2.617993877991494078e-01,4.188790204786390525e+00,8.474593317186477348e-01
2.617993877991494078e-01,4.319689898685965090e+00,8.510895484811343836e-01
2.617993877991494078e-01,4.450589592585539656e+00,8.549461935256575940e-01
2.617993877991494078e-01,4.581489286485114221e+00,8.589666943706926183e-01
2.617993877991494078e-01,4.712388980384689674e+00,8.630841782366096560e-01
2.617993877991494078e-01,4.843288674284264239e+00,8.672283089319527960e-01
2.617993877991494078e-01,4.974188368183838804e+00,8.713276955503814758e-01
2.617993877991494078e-01,5.105088062083413369e+00,8.753102825365064454e-01
2.617993877991494078e-01,5.235987755982987935e+00,8.791049473829219973e-01
2.617993877991494078e-01,5.366887449882562500e+00,8.826431699355496985e-01
2.617993877991494078e-01,5.497787143782137953e+00,8.858605724041751506e-01
2.617993877991494078e-01,5.628686837681712518e+00,8.886970399722935454e-01
2.617993877991494078e-01,5.759586531581287083e+00,8.910994706430691581e-01
2.617993877991494078e-01,5.890486225480861648e+00,8.930230660906800511e-01
2.617993877991494078e-01,6.021385919380436214e+00,8.944315129879595316e-01
2.617993877991494078e-01,6.152285613280010779e+00,8.952973841226222751e-01
2.617993877991494078e-01,6.283185307179586232e+00,8.956047525731047898e-01
3.272492347489367459e-01,0.000000000000000000e+00,9.036935464028456044e-01
3.272492347489367459e-01,1.308996938995747039e-01,9.033699919904537579e-01
3.272492347489367459e-01,2.617993877991494078e-01,9.023452902335419301e-01
3.272492347489367459e-01,3.926990816987241395e-01,9.006388411366649249e-01
3.272492347489367459e-01,5.235987755982988157e-01,8.982849470122673541e-01
3.272492347489367459e-01,6.544984694978734918e-01,8.953300060003046568e-01
3.272492347489367459e-01,7.853981633974482790e-01,8.918298555866560617e-01
3.272492347489367459e-01,9.162978572970229552e-01,8.878523165211773538e-01
3.272492347489367459e-01,1.047197551196597631e+00,8.834721594648602405e-01
3.272492347489367459e-01,1.178097245096172418e+00,8.787707253011237674e-01
3.272492347489367459e-01,1.308996938995746984e+00,8.738338133060520319e-01
3.272492347489367459e-01,1.439896632895321771e+00,8.687504006322294137e-01
3.272492347489367459e-01,1.570796326794896558e+00,8.636093876085446652e-01
3.272492347489367459e-01,1.701696020694471123e+00,8.585001832738435867e-01
3.272492347489367459e-01,1.832595714594045910e+00,8.535084649109577759e-01
3.272492347489367459e-01,1.963495408493620475e+00,8.487175967525357745e-01
3.272492347489367459e-01,2.094395102393195263e+00,8.442041097641479475e-01
3.272492347489367459e-01,2.225294796292769828e+00,8.400406475247772509e-01
3.272492347489367459e-01,2.356194490192344837e+00,8.362916013112937641e-01
3.272492347489367459e-01,2.487094184091919402e+00,8.330137812721722934e-01
3.272492347489367459e-01,2.617993877991493967e+00,8.302564233115297121e-01
3.272492347489367459e-01,2.748893571891068976e+00,8.280609005097309128e-01
3.272492347489367459e-01,2.879793265790643542e+00,8.264588182795313820e-01
3.272492347489367459e-01,3.010692959690218107e+00,8.254729986311893919e-01
3.272492347489367459e-01,3.141592653589793116e+00,8.251183904079544273e-01
3.272492347489367459e-01,3.272492347489367681e+00,8.254004536599589548e-01
3.272492347489367459e-01,3.403392041388942246e+00,8.263149746638290827e-01
3.272492347489367459e-01,3.534291735288516811e+00,8.278489097176503497e-01
3.272492347489367459e-01,3.665191429188091821e+00,8.299813864651194306e-01
3.272492347489367459e-01,3.796091123087666386e+00,8.326807684898736017e-01
3.272492347489367459e-01,3.926990816987240951e+00,8.359073485125554370e-01
3.272492347489367459e-01,4.057890510886815960e+00,8.396129338859956714e-01
3.272492347489367459e-01,4.188790204786390525e+00,8.437418879512933456e-01
3.272492347489367459e-01,4.319689898685965090e+00,8.482290894479662668e-01
3.272492347489367459e-01,4.450589592585539656e+00,8.530031795614114731e-01
3.272492347489367459e-01,4.581489286485114221e+00,8.579872017058816080e-01
3.272492347489367459e-01,4.712388980384689674e+00,8.630978742731619802e-01
3.272492347489367459e-01,4.843288674284264239e+00,8.682490926656405428e-01
3.272492347489367459e-01,4.974188368183838804e+00,8.733513524057449073e-01
3.272492347489367459e-01,5.105088062083413369e+00,8.783144162812691613e-01
3.272492347489367459e-01,5.235987755982987935e+00,8.830488786355930042e-01
3.272492347489367459e-01,5.366887449882562500e+00,8.874685960165065168e-01
3.272492347489367459e-01,5.497787143782137953e+00,8.914908947258977090e-01
3.272492347489367459e-01,5.628686837681712518e+00,8.950404127160909162e-01
3.272492347489367459e-01,5.759586531581287083e+00,8.980487982907897626e-01
3.272492347489367459e-01,5.890486225480861648e+00,9.004593159983759199e-01
3.272492347489367459e-01,6.021385919380436214e+00,9.022239888496053073e-01
3.272492347489367459e-01,6.152285613280010779e+00,9.033093135665402063e-01
3.272492347489367459e-01,6.283185307179586232e+00,9.036935913940533638e-01
3.926990816987241395e-01,0.000000000000000000e+00,9.116982740593667645e-01
3.926990816987241395e-01,1.308996938995747039e-01,9.113084549489558484e-01
3.926990816987241395e-01,2.617993877991494078e-01,9.100752923234501912e-01
3.926990816987241395e-01,3.926990816987241395e-01,9.080244208334620204e-01
3.926990816987241395e-01,5.235987755982988157e-01,9.051973776434948382e-01
3.926990816987241395e-01,6.544984694978734918e-01,9.016490869482055581e-01
3.926990816987241395e-01,7.853981633974482790e-01,8.974514231056767155e-01
3.926990816987241395e-01,9.162978572970229552e-01,8.926851218042273217e-01
3.926990816987241395e-01,1.047197551196597631e+00,8.874413380354723158e-01
3.926990816987241395e-01,1.178097245096172418e+00,8.818195160443413894e-01
3.926990816987241395e-01,1.308996938995746984e+00,8.759232314071346837e-01
3.926990816987241395e-01,1.439896632895321771e+00,8.698594031011325223e-01
3.926990816987241395e-01,1.570796326794896558e+00,8.637353354346681833e-01
3.926990816987241395e-01,1.701696020694471123e+00,8.576565690291049204e-01
3.926990816987241395e-01,1.832595714594045910e+00,8.517267003016050220e-01
3.926990816987241395e-01,1.963495408493620475e+00,8.460416779834836198e-01
3.926990816987241395e-01,2.094395102393195263e+00,8.406935571011494579e-01
3.926990816987241395e-01,2.225294796292769828e+00,8.357654110165364525e-01
3.926990816987241395e-01,2.356194490192344837e+00,8.313326449255444839e-01
3.926990816987241395e-01,2.487094184091919402e+00,8.274608800575103951e-01
3.926990816987241395e-01,2.617993877991493967e+00,8.242067809222184405e-01
3.926990816987241395e-01,2.748893571891068976e+00,8.216168267857920648e-01
3.926990816987241395e-01,2.879793265790643542e+00,8.197271844436688770e-01
3.926990816987241395e-01,3.010692959690218107e+00,8.185655529532298580e-01
3.926990816987241395e-01,3.141592653589793116e+00,8.181469263741351083e-01
3.926990816987241395e-01,3.272492347489367681e+00,8.184775053578656756e-01
3.926990816987241395e-01,3.403392041388942246e+00,8.195542704027454217e-01
3.926990816987241395e-01,3.534291735288516811e+00,8.213608768445567199e-01
3.926990816987241395e-01,3.665191429188091821e+00,8.238742734144760549e-01
3.926990816987241395e-01,3.796091123087666386e+00,8.270595307146767494e-01
3.926990816987241395e-01,3.926990816987240951e+00,8.308697411845247238e-01
3.926990816987241395e-01,4.057890510886815960e+00,8.352515514707756772e-01
3.926990816987241395e-01,4.188790204786390525e+00,8.401385943666737077e-01
3.926990816987241395e-01,4.319689898685965090e+00,8.454564792560452791e-01
3.926990816987241395e-01,4.450589592585539656e+00,8.511223638763143473e-01
3.926990816987241395e-01,4.581489286485114221e+00,8.570450548186187012e-01
3.926990816987241395e-01,4.712388980384689674e+00,8.631266043928443876e-01
3.926990816987241395e-01,4.843288674284264239e+00,8.692643047312523796e-01
3.926990816987241395e-01,4.974188368183838804e+00,8.753516655011734926e-01
3.926990816987241395e-01,5.105088062083413369e+00,8.812799697019910727e-01
3.926990816987241395e-01,5.235987755982987935e+00,8.869421083778922243e-01
3.926990816987241395e-01,5.366887449882562500e+00,8.922330468704163797e-01
3.926990816987241395e-01,5.497787143782137953e+00,8.970531076114782731e-01
3.926990816987241395e-01,5.628686837681712518e+00,9.013096811159879707e-01
3.926990816987241395e-01,5.759586531581287083e+00,9.049202634585810090e-01
3.926990816987241395e-01,5.890486225480861648e+00,9.078140346282606021e-01
3.926990816987241395e-01,6.021385919380436214e+00,9.099337866349346271e-01
3.926990816987241395e-01,6.152285613280010779e+00,9.112372344806074498e-01
3.926990816987241395e-01,6.283185307179586232e+00,9.116984108641480455e-01
4.581489286485114776e-01,0.000000000000000000e+00,9.195787292276389469e-01
4.581489286485114776e-01,1.308996938995747039e-01,9.191228008374567882e-01
4.581489286485114776e-01,2.617993877991494078e-01,9.176836739020545197e-01
4.581489286485114776e-01,3.926990816987241395e-01,9.152909781557865276e-01
4.581489286485114776e-01,5.235987755982988157e-01,9.119947333897794328e-01
4.581489286485114776e-01,6.544984694978734918e-01,9.078613803653275971e-01
4.581489286485114776e-01,7.853981633974482790e-01,9.029746025350965377e-01
4.581489286485114776e-01,9.162978572970229552e-01,8.974308770421914883e-01
4.581489286485114776e-01,1.047197551196597631e+00,8.913380157834496220e-01
4.581489286485114776e-01,1.178097245096172418e+00,8.848128867242945894e-01
4.581489286485114776e-01,1.308996938995746984e+00,8.779783131314109479e-01
4.581489286485114776e-01,1.439896632895321771e+00,8.709556483417075778e-01
4.581489286485114776e-01,1.570796326794896558e+00,8.638729702707903524e-01
4.581489286485114776e-01,1.701696020694471123e+00,8.568528083725852618e-01
4.581489286485114776e-01,1.832595714594045910e+00,8.500123420366825222e-01
4.581489286485114776e-01,1.963495408493620475e+00,8.434635507185085368e-01
4.581489286485114776e-01,2.094395102393195263e+00,8.373102383826525053e-01
4.581489286485114776e-01,2.225294796292769828e+00,8.316471304793267016e-01
4.581489286485114776e-01,2.356194490192344837e+00,8.265584283384775910e-01
4.581489286485114776e-01,2.487094184091919402e+00,8.221180908144569699e-01
4.581489286485114776e-01,2.617993877991493967e+00,8.183887715729322165e-01
4.581489286485114776e-01,2.748893571891068976e+00,8.154224032298196256e-01
4.581489286485114776e-01,2.879793265790643542e+00,8.132594426141955823e-01
4.581489286485114776e-01,3.010692959690218107e+00,8.119293998557048919e-01
4.581489286485114776e-01,3.141592653589793116e+00,8.114488064641017795e-01
4.581489286485114776e-01,3.272492347489367681e+00,8.118262981396111577e-01
4.581489286485114776e-01,3.403392041388942246e+00,8.130558085787735756e-01
4.581489286485114776e-01,3.534291735288516811e+00,8.151229532527506372e-01
4.581489286485114776e-01,3.665191429188091821e+00,8.179999904389881893e-01
4.581489286485114776e-01,3.796091123087666386e+00,8.216486365851858320e-01
4.581489286485114776e-01,3.926990816987240951e+00,8.260181347016963826e-01
4.581489286485114776e-01,4.057890510886815960e+00,8.310474521436707063e-01
4.581489286485114776e-01,4.188790204786390525e+00,8.366640714359174780e-01
4.581489286485114776e-01,4.319689898685965090e+00,8.427831019234651722e-01
4.581489286485114776e-01,4.450589592585539656e+00,8.493113034336576828e-01
4.581489286485114776e-01,4.581489286485114221e+00,8.561443668605880353e-01
4.581489286485114776e-01,4.712388980384689674e+00,8.631697004769539605e-01
4.581489286485114776e-01,4.843288674284264239e+00,8.702691188093404362e-01
4.581489286485114776e-01,4.974188368183838804e+00,8.773190367785869137e-01
4.581489286485114776e-01,5.105088062083413369e+00,8.841930910920516862e-01
4.581489286485114776e-01,5.235987755982987935e+00,8.907658441133650129e-01
4.581489286485114776e-01,5.366887449882562500e+00,8.969143830630803560e-01
4.581489286485114776e-01,5.497787143782137953e+00,9.025202078935672390e-01
