epsilon,gamma_T,AGF
-8.367346938775510612e-02,1.599858719606057360e-06,9.994517629192678498e-01
-8.367346938775510612e-02,2.023589647725155726e-06,9.994448523142067664e-01
-8.367346938775510612e-02,2.559547922699533382e-06,9.994971696957154483e-01
-8.367346938775510612e-02,3.237457542817646685e-06,9.994735914347167016e-01
-8.367346938775510612e-02,4.094915062380427237e-06,9.994512923469065502e-01
-8.367346938775510612e-02,5.179474679231212330e-06,9.994685208671836296e-01
-8.367346938775510612e-02,6.551285568595509496e-06,9.995060205879942039e-01
-8.367346938775510612e-02,8.286427728546842542e-06,9.994991203195233709e-01
-8.367346938775510612e-02,1.048113134154685250e-05,9.994717768191375695e-01
-8.367346938775510612e-02,1.325711365590110898e-05,9.994935586425556240e-01
-8.367346938775510612e-02,1.676832936811009972e-05,9.994698366022352065e-01
-8.367346938775510612e-02,2.120950887920192640e-05,9.994628658548017075e-01
-8.367346938775510612e-02,2.682695795279727390e-05,9.994632891121834062e-01
-8.367346938775510612e-02,3.393221771895329857e-05,9.994656308991323179e-01
-8.367346938775510612e-02,4.291934260128778017e-05,9.994305481092032872e-01
-8.367346938775510612e-02,5.428675439323859403e-05,9.994644181274412453e-01
-8.367346938775510612e-02,6.866488450042998925e-05,9.994067886473912976e-01
-8.367346938775510612e-02,8.685113737513520580e-05,9.994207919308720767e-01
-8.367346938775510612e-02,1.098541141987558346e-04,9.994363682878454336e-01
-8.367346938775510612e-02,1.389495494373137348e-04,9.993966070748889763e-01
-8.367346938775510612e-02,1.757510624854793067e-04,9.993802147439038164e-01
-8.367346938775510612e-02,2.222996482526195465e-04,9.993344349291541917e-01
-8.367346938775510612e-02,2.811768697974231118e-04,9.993580274533507835e-01
-8.367346938775510612e-02,3.556480306223128661e-04,9.993014318933475248e-01
-8.367346938775510612e-02,4.498432668969443876e-04,9.992521003968789506e-01
-8.367346938775510612e-02,5.689866029018298636e-04,9.992607087860353454e-01
-8.367346938775510612e-02,7.196856730011521675e-04,9.991535090365337712e-01
-8.367346938775510612e-02,9.102981779915217267e-04,9.990444453544137238e-01
-8.367346938775510612e-02,1.151395399326448146e-03,9.989314075109180235e-01
-8.367346938775510612e-02,1.456348477501244378e-03,9.988532095270606925e-01
-8.367346938775510612e-02,1.842069969326716331e-03,9.986743914238550568e-01
-8.367346938775510612e-02,2.329951810515372077e-03,9.984605377209503363e-01
-8.367346938775510612e-02,2.947051702551809708e-03,9.981369489575026011e-01
-8.367346938775510612e-02,3.727593720314941773e-03,9.978080522741836766e-01
-8.367346938775510612e-02,4.714866363457394238e-03,9.973594386923345656e-01
-8.367346938775510612e-02,5.963623316594642357e-03,9.969031797498980607e-01
-8.367346938775510612e-02,7.543120063354623143e-03,9.961109806192283145e-01
