epsilon,gamma_t,AGF
-7.142857142857142461e-02,5.179474679231212330e-06,9.999825114986865549e-01
-7.142857142857142461e-02,6.551285568595509496e-06,9.999813177749115045e-01
-7.142857142857142461e-02,8.286427728546842542e-06,9.999798093124608878e-01
-7.142857142857142461e-02,1.048113134154685250e-05,9.999778986120944069e-01
-7.142857142857142461e-02,1.325711365590110898e-05,9.999754842022953172e-01
-7.142857142857142461e-02,1.676832936811009972e-05,9.999724294008237591e-01
-7.142857142857142461e-02,2.120950887920192640e-05,9.999685652195822172e-01
-7.142857142857142461e-02,2.682695795279727390e-05,9.999636775520447385e-01
-7.142857142857142461e-02,3.393221771895329857e-05,9.999574961750632429e-01
-7.142857142857142461e-02,4.291934260128778017e-05,9.999496775918531588e-01
-7.142857142857142461e-02,5.428675439323859403e-05,9.999397884545699888e-01
-7.142857142857142461e-02,6.866488450042998925e-05,9.999272820629983016e-01
-7.142857142857142461e-02,8.685113737513520580e-05,9.999114615771922399e-01
-7.142857142857142461e-02,1.098541141987558346e-04,9.998914519276098645e-01
-7.142857142857142461e-02,1.389495494373137348e-04,9.998661421848352715e-01
-7.142857142857142461e-02,1.757510624854793067e-04,9.998341320209829242e-01
-7.142857142857142461e-02,2.222996482526195465e-04,9.997936485408461804e-01
-7.142857142857142461e-02,2.811768697974231118e-04,9.997424455750580918e-01
-7.142857142857142461e-02,3.556480306223128661e-04,9.996776866344001533e-01
