T,AGF,Avg_Leakage,Unitary_Error
248.0,0.999998797,0.000001,0.000003
248.5,0.999996294,0.000004,0.000006
249.0,0.999999294,0.000001,0.000002
249.5,0.999991580,0.000008,0.000015
250.0,0.999998345,0.000002,0.000005
250.5,0.999996242,0.000004,0.000007
251.0,0.999999224,0.000001,0.000002
251.5,0.999991809,0.000008,0.000015
252.0,0.999998031,0.000002,0.000006
252.5,0.999996934,0.000003,0.000005
253.0,0.999999096,0.000001,0.000002
253.5,0.999993336,0.000007,0.000012
254.0,0.999997684,0.000002,0.000006
254.5,0.999998020,0.000002,0.000003
255.0,0.999998866,0.000001,0.000003
255.5,0.999995528,0.000004,0.000008
256.0,0.999996910,0.000003,0.000006
256.5,0.999998928,0.000001,0.000002
257.0,0.999998360,0.000002,0.000003
257.5,0.999997542,0.000002,0.000006
258.0,0.999995504,0.000004,0.000006
258.5,0.999999262,0.000001,0.000002
259.0,0.999997565,0.000002,0.000003
259.5,0.999998812,0.000001,0.000003
260.0,0.999993736,0.000006,0.000009
260.5,0.999999036,0.000001,0.000003
261.0,0.999996776,0.000003,0.000005
261.5,0.999999295,0.000001,0.000002
262.0,0.999992316,0.000008,0.000013
262.5,0.999998588,0.000001,0.000004
263.0,0.999996438,0.000004,0.000006
263.5,0.999999316,0.000001,0.000002
264.0,0.999991958,0.000008,0.000015
264.5,0.999998232,0.000002,0.000005
265.0,0.999996805,0.000003,0.000006
265.5,0.999999211,0.000001,0.000002
266.0,0.999992919,0.000007,0.000013
266.5,0.999997959,0.000002,0.000006
267.0,0.999997722,0.000002,0.000004
267.5,0.999999058,0.000001,0.000002
268.0,0.999994824,0.000005,0.000009
268.5,0.999997442,0.000003,0.000006
269.0,0.999998699,0.000001,0.000003
269.5,0.999998712,0.000001,0.000002
270.0,0.999996899,0.000003,0.000006
270.5,0.999996361,0.000004,0.000006
271.0,0.999999250,0.000001,0.000002
271.5,0.999998068,0.000002,0.000003
272.0,0.999998448,0.000002,0.000004
272.5,0.999994764,0.000005,0.000007
273.0,0.999999219,0.000001,0.000002
273.5,0.999997281,0.000003,0.000004
274.0,0.999999210,0.000001,0.000002
274.5,0.999993177,0.000007,0.000011
275.0,0.999998831,0.000001,0.000003
275.5,0.999996737,0.000003,0.000006
276.0,0.999999377,0.000001,0.000001
276.5,0.999992335,0.000008,0.000014
277.0,0.999998433,0.000002,0.000005
